timestamp_epoch,timestamp_data_hora,seq,frame_len,frame_bin_msb,frame_ascii_printable
1776128071.504607,13/04/2026 21:54:31,1,1,00011000,.
1776128081.505479,13/04/2026 21:54:41,2,1,00011000,.
1776128091.506347,13/04/2026 21:54:51,3,1,00011000,.
1776128101.507222,13/04/2026 21:55:01,4,1,00011000,.
1776128111.508089,13/04/2026 21:55:11,5,1,00011000,.
1776128121.508965,13/04/2026 21:55:21,6,1,00011000,.
1776128131.509867,13/04/2026 21:55:31,7,1,00011000,.
1776128141.510729,13/04/2026 21:55:41,8,1,00011000,.
1776128151.511616,13/04/2026 21:55:51,9,1,00011000,.
1776128161.512495,13/04/2026 21:56:01,10,1,00011000,.
1776128171.513377,13/04/2026 21:56:11,11,1,00011000,.
1776128181.514257,13/04/2026 21:56:21,12,1,00011000,.
1776128191.515145,13/04/2026 21:56:31,13,1,00011000,.
1776128201.516031,13/04/2026 21:56:41,14,1,00011000,.
1776128211.516911,13/04/2026 21:56:51,15,1,00011000,.
1776128221.517793,13/04/2026 21:57:01,16,1,00011000,.
1776128231.518671,13/04/2026 21:57:11,17,1,00011000,.
